kind,id,name,family,type,x,y,w,d,h,rot,levels,zone,extra
meta,OX Glass — Bodega (ejemplo),,,,192,1399.43,1399.43,,,,1,,"{""outline"":[[0,0],[1200,0],[1200,720],[0,720]],""updated"":""2026-09-21"",""notes"":""Ejemplo para probar la pestaña Plano 3D sin haber medido todavía. Reemplázalo con tu captura real.""}"
column,C1,,,,594,234,8,8,,,,,
column,C2,,,,594,474,8,8,,,,,
opening,BAY-1,,,ROLLUP,456,720,168,,168,,,,S
opening,MAN-1,,,MAN,60,720,36,,84,,,,S
obstacle,OF,Oficina,,OFFICE,0,0,240,180,108,0,,,
zone,Z-STG,STAGING / DESPACHO,STAGING,,0,561.6,1200,158.39999999999998,,,,,
zone,Z-SF,STOREFRONT,STOREFRONT,,0,0,36,561.6,,,,,
zone,Z-MIR,ESPEJOS,MIRROR,,1152,0,48,166.46400000000003,,,,,
zone,Z-SHW,SHOWER DOORS,SHOWER,,1152,202.46400000000003,48,161.568,,,,,
zone,Z-SCR,SCREENS (WINDOW + DOOR),SCREEN,,1152,400.03200000000004,48,161.568,,,,,
zone,Z-WIN,VENTANAS,WINDOW,,108,0,972,561.6,,,,,
rack,SF1,,STOREFRONT,CANT,-163.3,348.3,366.6,36.00000000000003,120,90,4,Z-SF,
rack,M1,,MIRROR,ARACK,1096.768,59.23200000000001,154.46400000000003,48,84,90,1,Z-MIR,
rack,SD1,,SHOWER,PALLET,1099.216,259.24800000000005,149.568,48,144,90,3,Z-SHW,
rack,S1,,SCREEN,VRACK,1108.216,465.81600000000003,149.568,30,96,90,1,Z-SCR,
rack,W1,,WINDOW,ARACK,243,0,837,48,84,0,1,Z-WIN,
rack,W2,,WINDOW,ARACK,243,108,837,48,84,0,1,Z-WIN,
rack,W3,,WINDOW,ARACK,108,216,483,48,84,0,1,Z-WIN,
rack,W3-2,,WINDOW,ARACK,605,216,475,48,84,0,1,Z-WIN,
rack,W4,,WINDOW,ARACK,108,324,972,48,84,0,1,Z-WIN,
rack,W5,,WINDOW,ARACK,108,432,483,48,84,0,1,Z-WIN,
rack,W5-2,,WINDOW,ARACK,605,432,475,48,84,0,1,Z-WIN,
